# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -3.46435e-07 -2.49448e-07 7.37829e-07 25.5167 64.3654 65.0041
0.025 0.025 0 0.0353553  -0.380643 2.71962 2.94783 26.0665 64.4614 64.8714
0.05 0.05 0 0.0707107  -0.44985 4.75751 5.65405 26.9588 64.355 64.7549
0.075 0.075 0 0.106066  0.260938 6.31965 8.12016 27.3756 63.8834 64.6641
0.1 0.1 0 0.141421  0.576906 7.93744 10.3269 27.2484 63.3371 64.4367
0.125 0.125 0 0.176777  1.0033 9.97938 12.4603 26.9253 62.798 64.0625
0.15 0.15 0 0.212132  1.46375 12.1019 14.6117 26.5668 62.1768 63.5884
0.175 0.175 0 0.247487  1.89218 14.1525 16.7995 26.1725 61.4816 63.1158
0.2 0.2 0 0.282843  2.36286 16.1666 19.0397 25.6975 60.7076 62.7061
0.225 0.225 0 0.318198  2.9871 18.3198 21.4702 25.0635 59.8054 62.3464
0.25 0.25 0 0.353553  3.68339 20.5527 23.9144 24.3283 58.7424 62.0046
0.275 0.275 0 0.388909  4.37515 22.7605 23.6088 26.0889 57.552 61.6486
0.3 0.3 0 0.424264  5.05586 22.9614 24.9013 27.9518 56.3524 61.1881
0.325 0.325 0 0.459619  5.80826 22.3455 27.0742 29.7706 55.1905 60.5092
0.35 0.35 0 0.494975  6.61754 21.697 29.1112 31.6159 53.9819 59.78
0.375 0.375 0 0.53033  7.39053 21.0221 30.8359 33.3099 52.6773 59.232
0.4 0.4 0 0.565685  8.0453 20.3569 32.4456 34.6341 51.26 58.8952
0.425 0.425 0 0.601041  8.61207 19.6908 34.2541 35.5317 49.6483 58.6035
0.45 0.45 0 0.636396  9.0913 19.1304 35.9672 36.1248 48.0767 58.1147
0.475 0.475 0 0.671751  9.39128 18.8281 36.3923 37.1675 47.0656 57.4166
0.5 0.5 0 0.707107  9.47856 18.7594 36.4947 37.4914 46.7847 57.0366
0.5 0.5 0 0.707107  9.47856 18.7594 36.4947 37.4914 46.7847 57.0366
0.483333 0.516667 0 0.730677  9.52843 18.6953 36.5648 37.6085 46.7372 57.1183
0.466667 0.533333 0 0.754247  9.67237 18.524 36.7576 37.9229 46.6554 57.2396
0.45 0.55 0 0.777817  9.90961 18.277 37.0542 38.3825 46.6161 57.2068
0.433333 0.566667 0 0.801388  10.2431 17.972 37.4304 38.9359 46.6307 56.9096
0.416667 0.583333 0 0.824958  10.6728 17.603 37.8609 39.5189 46.6258 56.3799
0.4 0.6 0 0.848528  11.1925 17.1453 38.3319 40.055 46.472 55.7761
0.383333 0.616667 0 0.872098  11.8259 16.5541 38.8701 40.5008 46.0606 55.2315
0.366667 0.633333 0 0.895669  12.5567 15.8316 39.5169 40.8072 45.4721 54.8036
0.35 0.65 0 0.919239  13.332 15.0245 40.2383 40.935 44.9057 54.5311
0.333333 0.666667 0 0.942809  14.1227 14.1832 40.7734 40.9097 44.6443 54.4275
0.333333 0.666667 0 0.942809  14.1227 14.1832 40.7734 40.9097 44.6443 54.4275
0.316667 0.633333 0 0.980077  13.3116 14.9734 40.2942 40.5079 45.0295 54.4986
0.3 0.6 0 1.01734  12.4633 15.8131 39.2474 39.6579 45.9174 54.8833
0.283333 0.566667 0 1.05461  11.5075 16.7639 37.8238 38.9686 47.1137 55.3822
0.266667 0.533333 0 1.09188  10.4535 17.7908 36.0321 38.2334 48.4937 56.0517
0.25 0.5 0 1.12915  9.45166 18.7617 34.193 37.1509 49.8765 56.8921
0.233333 0.466667 0 1.16642  8.4979 19.7203 32.3692 35.5188 51.4509 57.8838
0.216667 0.433333 0 1.20368  7.52313 20.6882 30.3011 33.4247 53.2936 58.9426
0.2 0.4 0 1.24095  6.59782 21.585 28.1524 31.2563 55.0018 59.877
0.183333 0.366667 0 1.27822  5.70948 22.441 26.0355 29.1452 56.4158 60.6963
0.166667 0.333333 0 1.31549  4.78293 23.2595 23.7734 26.9296 57.6561 61.4963
0.15 0.3 0 1.35275  3.90365 21.4442 23.9829 24.6973 58.6953 62.1454
0.133333 0.266667 0 1.39002  3.1402 19.0313 22.2662 24.6811 59.6737 62.5193
0.116667 0.233333 0 1.42729  2.41334 16.3695 19.4603 25.4019 60.7395 62.765
0.1 0.2 0 1.46456  1.77027 13.7902 16.6444 26.0374 61.7475 63.0743
0.0833333 0.166667 0 1.50183  1.34069 11.5788 14.1163 26.5877 62.6023 63.5694
0.0666667 0.133333 0 1.53909  1.01104 9.38408 11.6187 27.1558 63.356 64.1921
0.05 0.1 0 1.57636  0.559024 7.1669 9.08305 27.5408 63.9706 64.6952
0.0333333 0.0666667 0 1.61363  -0.394169 5.08226 6.44648 27.1907 64.4614 64.7924
0.0166667 0.0333333 0 1.6509  -0.367815 2.76655 3.46433 26.1682 64.5324 64.8573
4.85723e-17 9.71445e-17 0 1.68817  -3.46435e-07 -2.49449e-07 7.37829e-07 25.5167 64.3654 65.0041
