############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 200
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 2
# dimension of the FFT mesh                : 10 x 10 x 1
# number of wait steps before measurement  : 1000000
# frequency of the measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 1
############################################################
# mapping information between lattice indices and atom id
# nx ny nz nucell
10 10 1 2
# l1 l2 l3 k atom_id
0 0 0 0 1
0 0 0 1 2
0 1 0 0 21
0 1 0 1 22
0 2 0 0 41
0 2 0 1 42
0 3 0 0 61
0 3 0 1 62
0 4 0 0 81
0 4 0 1 82
0 5 0 0 101
0 5 0 1 102
0 6 0 0 121
0 6 0 1 122
0 7 0 0 141
0 7 0 1 142
0 8 0 0 161
0 8 0 1 162
0 9 0 0 181
0 9 0 1 182
1 0 0 0 3
1 0 0 1 4
1 1 0 0 23
1 1 0 1 24
1 2 0 0 43
1 2 0 1 44
1 3 0 0 63
1 3 0 1 64
1 4 0 0 83
1 4 0 1 84
1 5 0 0 103
1 5 0 1 104
1 6 0 0 123
1 6 0 1 124
1 7 0 0 143
1 7 0 1 144
1 8 0 0 163
1 8 0 1 164
1 9 0 0 183
1 9 0 1 184
2 0 0 0 5
2 0 0 1 6
2 1 0 0 25
2 1 0 1 26
2 2 0 0 45
2 2 0 1 46
2 3 0 0 65
2 3 0 1 66
2 4 0 0 85
2 4 0 1 86
2 5 0 0 105
2 5 0 1 106
2 6 0 0 125
2 6 0 1 126
2 7 0 0 145
2 7 0 1 146
2 8 0 0 165
2 8 0 1 166
2 9 0 0 185
2 9 0 1 186
3 0 0 0 7
3 0 0 1 8
3 1 0 0 27
3 1 0 1 28
3 2 0 0 47
3 2 0 1 48
3 3 0 0 67
3 3 0 1 68
3 4 0 0 87
3 4 0 1 88
3 5 0 0 107
3 5 0 1 108
3 6 0 0 127
3 6 0 1 128
3 7 0 0 147
3 7 0 1 148
3 8 0 0 167
3 8 0 1 168
3 9 0 0 187
3 9 0 1 188
4 0 0 0 9
4 0 0 1 10
4 1 0 0 29
4 1 0 1 30
4 2 0 0 49
4 2 0 1 50
4 3 0 0 69
4 3 0 1 70
4 4 0 0 89
4 4 0 1 90
4 5 0 0 109
4 5 0 1 110
4 6 0 0 129
4 6 0 1 130
4 7 0 0 149
4 7 0 1 150
4 8 0 0 169
4 8 0 1 170
4 9 0 0 189
4 9 0 1 190
5 0 0 0 11
5 0 0 1 12
5 1 0 0 31
5 1 0 1 32
5 2 0 0 51
5 2 0 1 52
5 3 0 0 71
5 3 0 1 72
5 4 0 0 91
5 4 0 1 92
5 5 0 0 111
5 5 0 1 112
5 6 0 0 131
5 6 0 1 132
5 7 0 0 151
5 7 0 1 152
5 8 0 0 171
5 8 0 1 172
5 9 0 0 191
5 9 0 1 192
6 0 0 0 13
6 0 0 1 14
6 1 0 0 33
6 1 0 1 34
6 2 0 0 53
6 2 0 1 54
6 3 0 0 73
6 3 0 1 74
6 4 0 0 93
6 4 0 1 94
6 5 0 0 113
6 5 0 1 114
6 6 0 0 133
6 6 0 1 134
6 7 0 0 153
6 7 0 1 154
6 8 0 0 173
6 8 0 1 174
6 9 0 0 193
6 9 0 1 194
7 0 0 0 15
7 0 0 1 16
7 1 0 0 35
7 1 0 1 36
7 2 0 0 55
7 2 0 1 56
7 3 0 0 75
7 3 0 1 76
7 4 0 0 95
7 4 0 1 96
7 5 0 0 115
7 5 0 1 116
7 6 0 0 135
7 6 0 1 136
7 7 0 0 155
7 7 0 1 156
7 8 0 0 175
7 8 0 1 176
7 9 0 0 195
7 9 0 1 196
8 0 0 0 17
8 0 0 1 18
8 1 0 0 37
8 1 0 1 38
8 2 0 0 57
8 2 0 1 58
8 3 0 0 77
8 3 0 1 78
8 4 0 0 97
8 4 0 1 98
8 5 0 0 117
8 5 0 1 118
8 6 0 0 137
8 6 0 1 138
8 7 0 0 157
8 7 0 1 158
8 8 0 0 177
8 8 0 1 178
8 9 0 0 197
8 9 0 1 198
9 0 0 0 19
9 0 0 1 20
9 1 0 0 39
9 1 0 1 40
9 2 0 0 59
9 2 0 1 60
9 3 0 0 79
9 3 0 1 80
9 4 0 0 99
9 4 0 1 100
9 5 0 0 119
9 5 0 1 120
9 6 0 0 139
9 6 0 1 140
9 7 0 0 159
9 7 0 1 160
9 8 0 0 179
9 8 0 1 180
9 9 0 0 199
9 9 0 1 200
############################################################
