# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  2.61162e-07 2.76197e-07 8.20841e-07 9.10942 48.4995 55.8356
0.025 0.025 0 0.0353553  -0.272161 4.01565 4.44679 9.23184 49.239 55.9039
0.05 0.05 0 0.0707107  -0.179004 7.07216 7.80799 9.28932 50.1468 55.7639
0.075 0.075 0 0.106066  0.487144 9.00216 9.0344 10.3789 49.95 55.0907
0.1 0.1 0 0.141421  0.806716 8.71479 10.6343 12.7422 49.0443 54.0795
0.125 0.125 0 0.176777  1.19984 8.69238 12.9509 15.4392 48.3901 52.9532
0.15 0.15 0 0.212132  1.73544 8.79822 15.703 18.4978 47.9579 51.7284
0.175 0.175 0 0.247487  2.40327 8.97202 18.6239 21.6757 47.5533 50.5988
0.2 0.2 0 0.282843  3.09629 9.34847 21.4994 24.6008 47.1548 49.7928
0.225 0.225 0 0.318198  3.76328 10.1953 24.3514 27.1659 46.9047 49.4482
0.25 0.25 0 0.353553  4.29825 11.1155 26.795 29.2253 46.7302 49.2911
0.275 0.275 0 0.388909  4.68705 11.6023 28.5816 30.723 46.4713 49.0047
0.3 0.3 0 0.424264  5.10317 11.5615 30.1819 32.1107 46.0433 48.4376
0.325 0.325 0 0.459619  5.68527 11.0171 32.0964 33.8205 45.4411 47.5511
0.35 0.35 0 0.494975  6.17637 10.1856 33.8954 35.4644 44.7114 46.4706
0.375 0.375 0 0.53033  6.35871 9.46668 35.204 36.6589 43.9828 45.3739
0.4 0.4 0 0.565685  6.37964 9.22244 36.2369 37.546 43.4359 44.465
0.425 0.425 0 0.601041  6.74218 9.3594 37.4165 38.5021 43.1026 43.7871
0.45 0.45 0 0.636396  7.42666 9.48858 38.5967 39.4926 42.7582 43.2191
0.475 0.475 0 0.671751  8.11485 9.43964 39.4941 40.194 42.339 42.7687
0.5 0.5 0 0.707107  8.40938 9.36858 39.8563 40.3741 42.1528 42.5783
0.5 0.5 0 0.707107  8.40938 9.36858 39.8563 40.3741 42.1528 42.5783
0.483333 0.516667 0 0.730677  8.36444 9.38902 39.744 40.3927 42.2062 42.6494
0.466667 0.533333 0 0.754247  8.25472 9.46133 39.4368 40.3184 42.4094 42.8802
0.45 0.55 0 0.777817  8.10389 9.59348 38.9431 40.0224 42.7629 43.3018
0.433333 0.566667 0 0.801388  7.89428 9.80566 38.2811 39.5178 43.2045 43.8864
0.416667 0.583333 0 0.824958  7.64079 10.0711 37.526 38.8962 43.6877 44.5247
0.4 0.6 0 0.848528  7.46084 10.2746 36.7994 38.2832 44.1532 45.0921
0.383333 0.616667 0 0.872098  7.41801 10.3267 36.1055 37.7047 44.5625 45.5518
0.366667 0.633333 0 0.895669  7.35495 10.2706 35.2715 37.0237 44.892 45.9948
0.35 0.65 0 0.919239  7.1329 10.1671 34.1851 36.1162 45.1336 46.4802
0.333333 0.666667 0 0.942809  6.71507 10.0573 32.8448 34.9352 45.3386 47.0082
0.333333 0.666667 0 0.942809  6.71507 10.0573 32.8448 34.9352 45.3386 47.0082
0.316667 0.633333 0 0.980077  6.64615 10.1357 32.9631 34.9366 45.3372 47.3003
0.3 0.6 0 1.01734  6.67357 10.3231 33.3776 35.184 45.3525 47.6977
0.283333 0.566667 0 1.05461  6.59064 10.6237 33.8811 35.4375 45.4242 48.3539
0.266667 0.533333 0 1.09188  6.36469 10.8987 34.3198 35.5323 45.5256 49.0808
0.25 0.5 0 1.12915  6.0271 11.0153 34.3747 35.2449 45.5984 49.6056
0.233333 0.466667 0 1.16642  5.50128 10.9784 33.6286 34.3725 45.6548 49.8522
0.216667 0.433333 0 1.20368  4.84644 10.9072 32.0974 33.1321 45.8119 50.0018
0.2 0.4 0 1.24095  4.34349 10.9319 30.5204 31.9496 46.1 50.2086
0.183333 0.366667 0 1.27822  4.22788 11.2386 29.3402 31.0153 46.5841 50.6323
0.166667 0.333333 0 1.31549  4.16265 11.718 27.8358 29.7028 47.1795 51.2725
0.15 0.3 0 1.35275  3.79666 11.9353 25.5434 27.5954 47.564 51.8314
0.133333 0.266667 0 1.39002  3.0817 11.4289 22.5446 24.7071 47.4626 51.8488
0.116667 0.233333 0 1.42729  2.28891 10.4389 19.3394 21.4659 47.1498 51.574
0.1 0.2 0 1.46456  1.74241 9.54236 16.5072 18.4936 47.156 51.6722
0.0833333 0.166667 0 1.50183  1.4767 9.15996 14.2078 16.0106 47.8217 52.6101
0.0666667 0.133333 0 1.53909  1.21809 9.26279 12.0316 13.6046 49.0086 54.0591
0.05 0.1 0 1.57636  0.776684 9.6137 9.64833 11.0588 50.1541 55.362
0.0333333 0.0666667 0 1.61363  0.0942799 6.92321 8.24282 9.69594 50.3137 55.9876
0.0166667 0.0333333 0 1.6509  -0.284032 3.70832 4.59474 9.37715 49.3 55.9863
4.85723e-17 9.71445e-17 0 1.68817  2.61162e-07 2.76197e-07 8.20841e-07 9.10942 48.4995 55.8356
