# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -3.68407e-07 2.13206e-07 8.91334e-07 28.2649 63.287 63.664
0.025 0.025 0 0.0353553  0.209371 1.98794 2.2458 27.9803 63.7632 64.2503
0.05 0.05 0 0.0707107  0.149509 3.43075 4.44655 28.0159 63.6932 64.9521
0.075 0.075 0 0.106066  0.381449 5.24853 6.22854 27.7049 63.102 64.0562
0.1 0.1 0 0.141421  0.616384 7.22745 8.48246 27.3029 62.8337 63.516
0.125 0.125 0 0.176777  0.973903 9.33176 10.9767 27.0229 62.7205 63.7294
0.15 0.15 0 0.212132  1.3726 11.4715 13.534 26.5643 62.3086 64.3047
0.175 0.175 0 0.247487  1.86512 13.5827 15.9808 26.0571 61.5587 63.4071
0.2 0.2 0 0.282843  2.40711 15.6745 18.4127 25.612 60.591 63.2796
0.225 0.225 0 0.318198  3.03569 17.846 20.8998 25.3134 59.8145 62.4315
0.25 0.25 0 0.353553  3.69382 20.0097 23.0446 24.8097 58.6662 62.3059
0.275 0.275 0 0.388909  4.36246 22.1693 24.0487 25.3873 57.2659 61.8094
0.3 0.3 0 0.424264  5.09454 23.0357 24.491 27.5893 55.4317 60.6781
0.325 0.325 0 0.459619  5.84508 22.5323 26.5684 29.3198 54.6072 60.3004
0.35 0.35 0 0.494975  6.62968 21.793 28.6596 31.1604 53.7698 59.9615
0.375 0.375 0 0.53033  7.3337 20.9374 30.4605 32.6724 52.1203 59.2326
0.4 0.4 0 0.565685  7.97914 20.2187 32.3653 34.418 50.4269 58.5576
0.425 0.425 0 0.601041  8.6553 19.6987 34.4069 35.0745 48.999 58.3309
0.45 0.45 0 0.636396  9.16957 19.2451 35.4783 36.0312 48.0742 57.7579
0.475 0.475 0 0.671751  9.52169 18.9714 36.2704 36.9256 46.8201 57.7991
0.5 0.5 0 0.707107  9.67847 19.0346 36.3694 37.1141 46.2593 58.0395
0.5 0.5 0 0.707107  9.67847 19.0346 36.3694 37.1141 46.2593 58.0395
0.483333 0.516667 0 0.730677  9.67915 18.8966 36.4554 37.3412 46.3513 57.8825
0.466667 0.533333 0 0.754247  9.73208 18.6742 36.5707 37.7101 46.6137 57.5861
0.45 0.55 0 0.777817  9.92819 18.4694 36.7011 38.1661 46.7317 57.2475
0.433333 0.566667 0 0.801388  10.3186 18.148 37.0126 38.8522 46.3588 56.7439
0.416667 0.583333 0 0.824958  10.8606 17.6394 37.4658 39.2942 45.8908 56.1535
0.4 0.6 0 0.848528  11.4414 17.033 38.0228 39.5585 45.6338 55.5972
0.383333 0.616667 0 0.872098  12.0063 16.4481 38.7163 40.1562 45.5023 55.0673
0.366667 0.633333 0 0.895669  12.6508 15.8416 39.4792 40.7862 45.3234 54.5358
0.35 0.65 0 0.919239  13.4049 15.1211 40.1851 41.0708 44.9793 54.1185
0.333333 0.666667 0 0.942809  14.1874 14.2943 40.7191 40.8563 44.624 53.9409
0.333333 0.666667 0 0.942809  14.1874 14.2943 40.7191 40.8563 44.624 53.9409
0.316667 0.633333 0 0.980077  13.2788 15.139 39.947 41.0617 44.6017 53.9923
0.3 0.6 0 1.01734  12.5272 16.1072 38.8491 40.7691 45.6068 54.5113
0.283333 0.566667 0 1.05461  11.5599 17.0019 37.7973 39.4751 46.5405 55.6313
0.266667 0.533333 0 1.09188  10.5992 17.797 36.346 37.9433 48.1397 56.0357
0.25 0.5 0 1.12915  9.53489 18.7373 34.2574 36.4157 49.831 56.8239
0.233333 0.466667 0 1.16642  8.50335 19.8374 32.4155 34.927 51.3912 57.4532
0.216667 0.433333 0 1.20368  7.56432 20.7861 30.3429 33.014 52.9704 58.5363
0.2 0.4 0 1.24095  6.61653 21.7331 28.1671 31.2952 54.4219 59.8559
0.183333 0.366667 0 1.27822  5.6955 22.7725 25.7538 28.9577 56.1549 60.2814
0.166667 0.333333 0 1.31549  4.8 23.3952 23.6085 26.6173 57.2598 60.6918
0.15 0.3 0 1.35275  3.93077 20.9743 23.8811 24.3913 58.085 61.6993
0.133333 0.266667 0 1.39002  3.16728 18.3589 21.2443 25.0677 59.8677 62.3731
0.116667 0.233333 0 1.42729  2.47549 15.9656 18.5922 25.7638 60.8191 63.0089
0.1 0.2 0 1.46456  1.81213 13.5167 15.7351 26.5472 61.6739 63.631
0.0833333 0.166667 0 1.50183  1.26938 10.9719 12.8098 26.7589 62.2029 63.8039
0.0666667 0.133333 0 1.53909  0.820605 8.5199 9.8839 26.9342 62.7846 63.8458
0.05 0.1 0 1.57636  0.454544 6.25874 7.12121 27.6607 62.7783 64.0657
0.0333333 0.0666667 0 1.61363  0.222057 4.06912 4.87752 27.8895 63.3523 64.7151
0.0166667 0.0333333 0 1.6509  0.187071 2.03756 2.74695 27.8642 63.4536 64.2391
4.85723e-17 9.71445e-17 0 1.68817  -3.68407e-07 2.13206e-07 8.91334e-07 28.2649 63.287 63.664
